raw,Date,Time,Station
12:38PM 8/Nov YOX,08-Nov,12:38PM,PMNYOX
YOZ 7/Nov 8:13AM,07-Nov,8:13AM,YOZNAM
Y/O/H 7:00PM 9/Nov,09-Nov,7:00PM,YOHPMN
10:53AM Y/I/X 6/Nov,06-Nov,10:53AM,AMYIXN
1:08PM Y-O-Z 10/Nov,10-Nov,1:08PM,PMYOZN
YOZ 9/Nov 10:38PM,09-Nov,10:38PM,YOZNPM
7-Nov Y/O/Y 7:24AM,07-Nov,7:24AM,NYOYAM
10/Nov Y/I/Y 8:15PM,10-Nov,8:15PM,NYIYPM
3:30PM Y-O-H 7/Nov,07-Nov,3:30PM,PMYOHN
8:40AM 10-Nov Y:O:Y,10-Nov,8:40AM,AMNYOY
6/Nov Y:I:Y 6:41PM,06-Nov,6:41PM,NYIYPM
Y-O-W 9/Nov 10:33AM,09-Nov,10:33AM,YOWNAM
YOZ 5:59PM 10-Nov,10-Nov,5:59PM,YOZPMN
9:08PM YOW 7/Nov,07-Nov,9:08PM,PMYOWN
6:03PM Y-O-H 10/Nov,10-Nov,6:03PM,PMYOHN
Y:I:W 8:32PM 9/Nov,09-Nov,8:32PM,YIWPMN
3:03PM Y/O/W 9/Nov,09-Nov,3:03PM,PMYOWN
12:05PM 9/Nov Y/I/Z,09-Nov,12:05PM,PMNYIZ
6-Nov YOX 4:43PM,06-Nov,4:43PM,NYOXPM
Y:O:X 10-Nov 5:53PM,10-Nov,5:53PM,YOXNPM
9/Nov 10:13AM Y/I/Y,09-Nov,10:13AM,NAMYIY
5:55PM 8/Nov Y/O/X,08-Nov,5:55PM,PMNYOX
9:32PM 6-Nov Y-I-H,06-Nov,9:32PM,PMNYIH
7-Nov Y/I/Z 8:41AM,07-Nov,8:41AM,NYIZAM
10-Nov Y:I:W 10:06AM,10-Nov,10:06AM,NYIWAM
YOX 4:11PM 8-Nov,08-Nov,4:11PM,YOXPMN
Y:O:H 10-Nov 12:32PM,10-Nov,12:32PM,YOHNPM
Y-O-H 3:30PM 8-Nov,08-Nov,3:30PM,YOHPMN
4:48PM 7/Nov Y/I/Y,07-Nov,4:48PM,PMNYIY
Y/O/Z 9/Nov 8:40PM,09-Nov,8:40PM,YOZNPM
9/Nov Y-I-Z 6:19PM,09-Nov,6:19PM,NYIZPM
3:11PM Y/O/X 6-Nov,06-Nov,3:11PM,PMYOXN
6/Nov Y:I:H 7:39AM,06-Nov,7:39AM,NYIHAM
Y:O:Y 3:50PM 10-Nov,10-Nov,3:50PM,YOYPMN
8-Nov 9:35PM YOZ,08-Nov,9:35PM,NPMYOZ
Y:O:X 8-Nov 3:43PM,08-Nov,3:43PM,YOXNPM
Y:I:Y 6-Nov 3:21PM,06-Nov,3:21PM,YIYNPM
9/Nov 3:56PM Y:O:Y,09-Nov,3:56PM,NPMYOY
YIX 10:22AM 9/Nov,09-Nov,10:22AM,YIXAMN
11:51AM 6/Nov Y:O:Y,06-Nov,11:51AM,AMNYOY
Y:I:Z 10/Nov 7:25AM,10-Nov,7:25AM,YIZNAM
2:14PM 6-Nov Y-I-Y,06-Nov,2:14PM,PMNYIY
9-Nov Y/I/X 7:22PM,09-Nov,7:22PM,NYIXPM
8:04AM 9/Nov Y/O/Y,09-Nov,8:04AM,AMNYOY
9/Nov Y-O-W 3:37PM,09-Nov,3:37PM,NYOWPM
10:16AM 9/Nov YOX,09-Nov,10:16AM,AMNYOX
11:36AM 8-Nov Y/O/Z,08-Nov,11:36AM,AMNYOZ
Y:O:X 4:11PM 6-Nov,06-Nov,4:11PM,YOXPMN
10-Nov Y-O-Y 1:24PM,10-Nov,1:24PM,NYOYPM
3:28PM YIX 6/Nov,06-Nov,3:28PM,PMYIXN
Y:I:X 4:33PM 9-Nov,09-Nov,4:33PM,YIXPMN
Y-O-Z 10-Nov 8:41PM,10-Nov,8:41PM,YOZNPM
12:27PM 10/Nov Y/I/X,10-Nov,12:27PM,PMNYIX
9/Nov 5:29PM Y:O:Z,09-Nov,5:29PM,NPMYOZ
YIY 9-Nov 2:12PM,09-Nov,2:12PM,YIYNPM
YOW 5:27PM 8/Nov,08-Nov,5:27PM,YOWPMN
Y-O-X 9-Nov 7:55AM,09-Nov,7:55AM,YOXNAM
6-Nov Y:O:Z 5:37PM,06-Nov,5:37PM,NYOZPM
6-Nov 3:37PM Y/I/H,06-Nov,3:37PM,NPMYIH
11:08AM 7-Nov Y:I:W,07-Nov,11:08AM,AMNYIW
YIX 7:47AM 10-Nov,10-Nov,7:47AM,YIXAMN
12:06PM 9/Nov YOZ,09-Nov,12:06PM,PMNYOZ
7/Nov Y-I-W 9:39PM,07-Nov,9:39PM,NYIWPM
YIZ 9/Nov 5:05PM,09-Nov,5:05PM,YIZNPM
Y/I/X 8:01AM 8/Nov,08-Nov,8:01AM,YIXAMN
10/Nov Y/I/Z 4:00PM,10-Nov,4:00PM,NYIZPM
10-Nov 1:42PM Y/O/X,10-Nov,1:42PM,NPMYOX
Y:O:Y 6:24PM 6/Nov,06-Nov,6:24PM,YOYPMN
Y/I/H 9/Nov 11:37PM,09-Nov,11:37PM,YIHNPM
Y/I/Z 8:45AM 9/Nov,09-Nov,8:45AM,YIZAMN
7-Nov Y/I/X 1:56PM,07-Nov,1:56PM,NYIXPM
Y/O/H 7:03AM 8/Nov,08-Nov,7:03AM,YOHAMN
7:02PM 6/Nov Y-I-Z,06-Nov,7:02PM,PMNYIZ
Y/I/H 7/Nov 8:19AM,07-Nov,8:19AM,YIHNAM
6-Nov Y-O-Z 6:18PM,06-Nov,6:18PM,NYOZPM
7/Nov Y:I:W 4:31PM,07-Nov,4:31PM,NYIWPM
Y-I-W 4:55PM 9-Nov,09-Nov,4:55PM,YIWPMN
8-Nov 8:50AM YIW,08-Nov,8:50AM,NAMYIW
Y:O:W 9:07PM 8-Nov,08-Nov,9:07PM,YOWPMN
11:13AM 7/Nov Y-I-H,07-Nov,11:13AM,AMNYIH
Y-I-H 6/Nov 11:03AM,06-Nov,11:03AM,YIHNAM
1:05PM Y/O/Z 6/Nov,06-Nov,1:05PM,PMYOZN
8-Nov Y/I/Z 4:03PM,08-Nov,4:03PM,NYIZPM
8:29AM Y:I:W 7-Nov,07-Nov,8:29AM,AMYIWN
9/Nov Y/I/X 8:05AM,09-Nov,8:05AM,NYIXAM
7-Nov 2:01PM Y-O-H,07-Nov,2:01PM,NPMYOH
6:10PM 6/Nov YIX,06-Nov,6:10PM,PMNYIX
6/Nov 4:33PM Y:O:H,06-Nov,4:33PM,NPMYOH
Y-O-Y 9-Nov 12:53PM,09-Nov,12:53PM,YOYNPM
1:31PM Y-I-X 8/Nov,08-Nov,1:31PM,PMYIXN
9:41AM 8-Nov Y/O/X,08-Nov,9:41AM,AMNYOX
7-Nov 5:37PM Y/O/Y,07-Nov,5:37PM,NPMYOY
Y:O:Y 8:43AM 7/Nov,07-Nov,8:43AM,YOYAMN
8:41AM Y/I/Z 8/Nov,08-Nov,8:41AM,AMYIZN
6/Nov 11:57AM Y/I/X,06-Nov,11:57AM,NAMYIX
10-Nov Y-I-W 11:29AM,10-Nov,11:29AM,NYIWAM
Y-O-H 6-Nov 2:31PM,06-Nov,2:31PM,YOHNPM
Y:O:Z 7-Nov 8:33PM,07-Nov,8:33PM,YOZNPM
9-Nov Y-O-Y 8:28PM,09-Nov,8:28PM,NYOYPM
8-Nov YOY 4:52PM,08-Nov,4:52PM,NYOYPM
Y-O-Y 6/Nov 8:18PM,06-Nov,8:18PM,YOYNPM
Y:I:X 7/Nov 10:22PM,07-Nov,10:22PM,YIXNPM
9/Nov 10:23PM Y/I/X,09-Nov,10:23PM,NPMYIX
9:53AM 8/Nov Y:I:X,08-Nov,9:53AM,AMNYIX
7/Nov 7:33AM Y/I/W,07-Nov,7:33AM,NAMYIW
11:42PM YIH 10/Nov,10-Nov,11:42PM,PMYIHN
8:47AM Y/I/X 9/Nov,09-Nov,8:47AM,AMYIXN
6/Nov 1:18PM Y/I/Y,06-Nov,1:18PM,NPMYIY
12:15PM 8-Nov Y/I/Y,08-Nov,12:15PM,PMNYIY
7-Nov 2:29PM YIZ,07-Nov,2:29PM,NPMYIZ
9/Nov 1:42PM YOX,09-Nov,1:42PM,NPMYOX
9-Nov Y/I/Z 4:31PM,09-Nov,4:31PM,NYIZPM
8:25AM 6/Nov Y-I-X,06-Nov,8:25AM,AMNYIX
5:33PM Y-I-W 10-Nov,10-Nov,5:33PM,PMYIWN
7/Nov Y:O:W 5:24PM,07-Nov,5:24PM,NYOWPM
10:28AM 10/Nov Y-I-X,10-Nov,10:28AM,AMNYIX
8-Nov Y-I-W 12:05PM,08-Nov,12:05PM,NYIWPM
Y:I:Z 6/Nov 7:24AM,06-Nov,7:24AM,YIZNAM
10-Nov 11:39AM Y/O/X,10-Nov,11:39AM,NAMYOX
10-Nov YOW 7:06AM,10-Nov,7:06AM,NYOWAM
4:18PM 8/Nov YOY,08-Nov,4:18PM,PMNYOY
9-Nov YIY 12:45PM,09-Nov,12:45PM,NYIYPM
Y:O:Y 6/Nov 11:21AM,06-Nov,11:21AM,YOYNAM
4:13PM 9/Nov YOX,09-Nov,4:13PM,PMNYOX
Y/I/H 3:09PM 8-Nov,08-Nov,3:09PM,YIHPMN
YOW 7:46AM 7-Nov,07-Nov,7:46AM,YOWAMN
1:34PM Y:I:H 6/Nov,06-Nov,1:34PM,PMYIHN
2:54PM 10/Nov YOY,10-Nov,2:54PM,PMNYOY
8:26AM Y/I/X 9-Nov,09-Nov,8:26AM,AMYIXN
Y:O:Y 12:21PM 6-Nov,06-Nov,12:21PM,YOYPMN
6-Nov 5:50PM Y:O:X,06-Nov,5:50PM,NPMYOX
10-Nov Y-I-W 9:12AM,10-Nov,9:12AM,NYIWAM
YIH 1:44PM 8-Nov,08-Nov,1:44PM,YIHPMN
7/Nov 10:34PM Y-I-H,07-Nov,10:34PM,NPMYIH
10-Nov 4:38PM Y/O/W,10-Nov,4:38PM,NPMYOW
3:40PM Y-I-H 7/Nov,07-Nov,3:40PM,PMYIHN
6/Nov 9:15PM Y-I-Y,06-Nov,9:15PM,NPMYIY
7-Nov Y:O:H 5:00PM,07-Nov,5:00PM,NYOHPM
7-Nov YIW 2:28PM,07-Nov,2:28PM,NYIWPM
YOY 7/Nov 12:23PM,07-Nov,12:23PM,YOYNPM
9:27AM 8-Nov YIX,08-Nov,9:27AM,AMNYIX
2:00PM Y-O-H 10-Nov,10-Nov,2:00PM,PMYOHN
6:47PM 9-Nov Y:O:W,09-Nov,6:47PM,PMNYOW
4:07PM 9/Nov YIH,09-Nov,4:07PM,PMNYIH
2:00PM Y-I-H 6-Nov,06-Nov,2:00PM,PMYIHN
9/Nov Y:O:W 6:07PM,09-Nov,6:07PM,NYOWPM
12:23PM 9-Nov YOY,09-Nov,12:23PM,PMNYOY
8/Nov 9:59AM Y/I/W,08-Nov,9:59AM,NAMYIW
9/Nov YIH 5:43PM,09-Nov,5:43PM,NYIHPM
6-Nov 2:35PM Y/I/Z,06-Nov,2:35PM,NPMYIZ
4:33PM 6/Nov Y-I-H,06-Nov,4:33PM,PMNYIH
Y:O:X 3:07PM 9/Nov,09-Nov,3:07PM,YOXPMN
7-Nov YIH 2:06PM,07-Nov,2:06PM,NYIHPM
7/Nov 8:59AM Y:O:Z,07-Nov,8:59AM,NAMYOZ
7:00AM Y:O:H 9/Nov,09-Nov,7:00AM,AMYOHN
7/Nov Y-I-W 11:59AM,07-Nov,11:59AM,NYIWAM
3:56PM 9-Nov Y/I/X,09-Nov,3:56PM,PMNYIX
1:35PM Y-O-W 8/Nov,08-Nov,1:35PM,PMYOWN
11:38AM 6-Nov YOZ,06-Nov,11:38AM,AMNYOZ
3:57PM 7-Nov Y-I-X,07-Nov,3:57PM,PMNYIX
9:33AM 7-Nov Y/I/W,07-Nov,9:33AM,AMNYIW
8:30PM 6/Nov Y/O/Z,06-Nov,8:30PM,PMNYOZ
Y-O-Z 4:02PM 7/Nov,07-Nov,4:02PM,YOZPMN
10-Nov 6:23PM YOY,10-Nov,6:23PM,NPMYOY
12:10PM YIH 8/Nov,08-Nov,12:10PM,PMYIHN
2:17PM 8/Nov Y/O/Y,08-Nov,2:17PM,PMNYOY
5:43PM 10/Nov YOH,10-Nov,5:43PM,PMNYOH
6/Nov Y/O/Z 7:38AM,06-Nov,7:38AM,NYOZAM
Y/O/Z 8/Nov 8:10AM,08-Nov,8:10AM,YOZNAM
10:07PM YOW 9/Nov,09-Nov,10:07PM,PMYOWN
9:36AM 9-Nov Y:O:W,09-Nov,9:36AM,AMNYOW
Y-O-H 7-Nov 10:03PM,07-Nov,10:03PM,YOHNPM
10:04AM Y:O:W 10/Nov,10-Nov,10:04AM,AMYOWN
10:00AM Y/O/H 10-Nov,10-Nov,10:00AM,AMYOHN
Y/O/Y 10-Nov 5:16PM,10-Nov,5:16PM,YOYNPM
10/Nov 7:52AM Y-O-X,10-Nov,7:52AM,NAMYOX
7-Nov Y-I-W 10:29PM,07-Nov,10:29PM,NYIWPM
YOX 9:14AM 10-Nov,10-Nov,9:14AM,YOXAMN
11:54AM 9/Nov Y:O:Y,09-Nov,11:54AM,AMNYOY
6-Nov 10:05PM YOW,06-Nov,10:05PM,NPMYOW
11:12AM 10/Nov Y:O:X,10-Nov,11:12AM,AMNYOX
2:34PM Y:I:Z 8-Nov,08-Nov,2:34PM,PMYIZN
Y:I:W 10:01AM 7/Nov,07-Nov,10:01AM,YIWAMN
Y/O/X 12:11PM 10-Nov,10-Nov,12:11PM,YOXPMN
10:31AM 9/Nov Y/I/Z,09-Nov,10:31AM,AMNYIZ
Y:O:X 7/Nov 10:16PM,07-Nov,10:16PM,YOXNPM
9-Nov 5:45PM Y-O-W,09-Nov,5:45PM,NPMYOW
6:14PM 7/Nov Y/I/W,07-Nov,6:14PM,PMNYIW
6/Nov YIH 10:37PM,06-Nov,10:37PM,NYIHPM
12:15PM YIY 10/Nov,10-Nov,12:15PM,PMYIYN
11:19AM Y-O-Y 8-Nov,08-Nov,11:19AM,AMYOYN
10:58AM Y/O/Y 7-Nov,07-Nov,10:58AM,AMYOYN
7:45AM 7/Nov Y-I-Z,07-Nov,7:45AM,AMNYIZ
10/Nov Y-I-Z 11:35AM,10-Nov,11:35AM,NYIZAM
12:00PM 8-Nov YIZ,08-Nov,12:00PM,PMNYIZ
YOY 1:51PM 6-Nov,06-Nov,1:51PM,YOYPMN
6-Nov 11:16AM Y:I:Y,06-Nov,11:16AM,NAMYIY
Y:O:H 10/Nov 11:02AM,10-Nov,11:02AM,YOHNAM
8:11AM 8/Nov Y-I-H,08-Nov,8:11AM,AMNYIH
Y-O-Y 6-Nov 9:14AM,06-Nov,9:14AM,YOYNAM
Y/I/W 9/Nov 9:31AM,09-Nov,9:31AM,YIWNAM
10/Nov 12:03PM YOW,10-Nov,12:03PM,NPMYOW
Y/I/Z 4:29PM 8/Nov,08-Nov,4:29PM,YIZPMN
Y-I-X 10-Nov 10:27PM,10-Nov,10:27PM,YIXNPM
9:07AM YOW 9-Nov,09-Nov,9:07AM,AMYOWN
8:16AM YOZ 9/Nov,09-Nov,8:16AM,AMYOZN
7/Nov Y:I:X 6:09PM,07-Nov,6:09PM,NYIXPM
Y/O/Z 10-Nov 8:17AM,10-Nov,8:17AM,YOZNAM
11:07PM 8-Nov Y/O/X,08-Nov,11:07PM,PMNYOX
9/Nov 5:39PM Y:I:Z,09-Nov,5:39PM,NPMYIZ
YIH 6:10PM 8/Nov,08-Nov,6:10PM,YIHPMN
Y/O/H 8:23AM 9-Nov,09-Nov,8:23AM,YOHAMN
10:05AM Y:I:H 8/Nov,08-Nov,10:05AM,AMYIHN
8/Nov 3:32PM YIH,08-Nov,3:32PM,NPMYIH
6:23PM 7-Nov Y:O:H,07-Nov,6:23PM,PMNYOH
Y:O:X 9:10PM 9/Nov,09-Nov,9:10PM,YOXPMN
8:25AM 6-Nov Y-O-W,06-Nov,8:25AM,AMNYOW
9:31AM 8-Nov Y:I:Z,08-Nov,9:31AM,AMNYIZ
9-Nov 4:13PM Y/O/Z,09-Nov,4:13PM,NPMYOZ
Y-O-Z 6-Nov 7:33PM,06-Nov,7:33PM,YOZNPM
Y:O:X 7-Nov 9:41AM,07-Nov,9:41AM,YOXNAM
7/Nov Y-O-H 10:00AM,07-Nov,10:00AM,NYOHAM
8/Nov Y/O/H 10:31AM,08-Nov,10:31AM,NYOHAM
8:09AM 7-Nov Y-I-X,07-Nov,8:09AM,AMNYIX
YIY 7:13AM 10-Nov,10-Nov,7:13AM,YIYAMN
Y/I/Y 8:00AM 7/Nov,07-Nov,8:00AM,YIYAMN
8/Nov Y/O/X 1:39PM,08-Nov,1:39PM,NYOXPM
10:10AM 10/Nov Y:I:H,10-Nov,10:10AM,AMNYIH
3:34PM 8/Nov Y:O:W,08-Nov,3:34PM,PMNYOW
3:32PM Y/O/H 10-Nov,10-Nov,3:32PM,PMYOHN
6:49PM Y:O:Y 8/Nov,08-Nov,6:49PM,PMYOYN
6:06PM Y/O/W 10-Nov,10-Nov,6:06PM,PMYOWN
11:15AM Y:O:X 9-Nov,09-Nov,11:15AM,AMYOXN
Y/O/X 6/Nov 1:09PM,06-Nov,1:09PM,YOXNPM
8:25PM 7-Nov Y/I/X,07-Nov,8:25PM,PMNYIX
4:34PM YIZ 7/Nov,07-Nov,4:34PM,PMYIZN
6:43PM Y-O-H 9/Nov,09-Nov,6:43PM,PMYOHN
Y:O:H 10:31AM 6-Nov,06-Nov,10:31AM,YOHAMN
11:05PM Y-I-Z 6/Nov,06-Nov,11:05PM,PMYIZN
9/Nov Y:I:X 3:23PM,09-Nov,3:23PM,NYIXPM
10-Nov 4:27PM Y/O/Y,10-Nov,4:27PM,NPMYOY
YIW 11:34AM 9/Nov,09-Nov,11:34AM,YIWAMN
10/Nov 11:33AM YIH,10-Nov,11:33AM,NAMYIH
7/Nov 4:03PM Y:I:W,07-Nov,4:03PM,NPMYIW
Y/O/W 9:05AM 10/Nov,10-Nov,9:05AM,YOWAMN
Y-O-H 6/Nov 12:32PM,06-Nov,12:32PM,YOHNPM
YOY 7-Nov 7:00PM,07-Nov,7:00PM,YOYNPM
YOW 8-Nov 12:06PM,08-Nov,12:06PM,YOWNPM
7/Nov 5:11PM Y:I:H,07-Nov,5:11PM,NPMYIH
9/Nov Y-O-Z 10:38AM,09-Nov,10:38AM,NYOZAM
Y:I:X 8-Nov 5:58PM,08-Nov,5:58PM,YIXNPM
Y-I-H 8:35PM 8/Nov,08-Nov,8:35PM,YIHPMN
YIW 7:00PM 6-Nov,06-Nov,7:00PM,YIWPMN
Y:O:Z 10-Nov 6:53PM,10-Nov,6:53PM,YOZNPM
9-Nov Y-O-Y 5:46PM,09-Nov,5:46PM,NYOYPM
9/Nov 7:23AM Y-I-Z,09-Nov,7:23AM,NAMYIZ
Y-I-Z 12:59PM 9/Nov,09-Nov,12:59PM,YIZPMN
Y-I-Y 11:16PM 7/Nov,07-Nov,11:16PM,YIYPMN
9:33PM 10/Nov Y/I/W,10-Nov,9:33PM,PMNYIW
Y-O-H 6:22PM 9/Nov,09-Nov,6:22PM,YOHPMN
8-Nov Y/I/H 9:44PM,08-Nov,9:44PM,NYIHPM
8/Nov YOX 10:13PM,08-Nov,10:13PM,NYOXPM
Y:I:W 11:00AM 6/Nov,06-Nov,11:00AM,YIWAMN
6-Nov 10:59AM Y:O:Z,06-Nov,10:59AM,NAMYOZ
10-Nov Y-O-H 11:32AM,10-Nov,11:32AM,NYOHAM
5:28PM 10/Nov Y-O-W,10-Nov,5:28PM,PMNYOW
Y:I:W 6:12PM 10/Nov,10-Nov,6:12PM,YIWPMN
9:32AM Y/I/Z 9/Nov,09-Nov,9:32AM,AMYIZN
8/Nov 2:46PM Y:I:Y,08-Nov,2:46PM,NPMYIY
YIY 6-Nov 12:11PM,06-Nov,12:11PM,YIYNPM
6-Nov 10:09AM Y-O-X,06-Nov,10:09AM,NAMYOX
1:20PM Y/I/Y 8/Nov,08-Nov,1:20PM,PMYIYN
8-Nov 10:24AM Y/I/X,08-Nov,10:24AM,NAMYIX
Y-I-X 7/Nov 9:02AM,07-Nov,9:02AM,YIXNAM
7-Nov Y-I-Z 9:05PM,07-Nov,9:05PM,NYIZPM
Y:O:H 8/Nov 9:33AM,08-Nov,9:33AM,YOHNAM
YIW 6/Nov 9:35AM,06-Nov,9:35AM,YIWNAM
4:35PM 7/Nov Y-I-H,07-Nov,4:35PM,PMNYIH
9-Nov YIH 12:07PM,09-Nov,12:07PM,NYIHPM
Y:O:H 9:00AM 8/Nov,08-Nov,9:00AM,YOHAMN
2:17PM Y-O-Y 6-Nov,06-Nov,2:17PM,PMYOYN
10:05PM 8-Nov Y/O/W,08-Nov,10:05PM,PMNYOW
YOY 8/Nov 8:39AM,08-Nov,8:39AM,YOYNAM
6:37PM 7/Nov YOZ,07-Nov,6:37PM,PMNYOZ
2:59PM Y/I/Z 8/Nov,08-Nov,2:59PM,PMYIZN
11:19AM 10-Nov YOY,10-Nov,11:19AM,AMNYOY
10:22PM YOY 10/Nov,10-Nov,10:22PM,PMYOYN
Y/O/X 7/Nov 4:42PM,07-Nov,4:42PM,YOXNPM
9/Nov 5:23PM Y-O-H,09-Nov,5:23PM,NPMYOH
YIX 9-Nov 9:24AM,09-Nov,9:24AM,YIXNAM
1:32PM Y/I/W 7/Nov,07-Nov,1:32PM,PMYIWN
11:46AM Y:O:Y 10/Nov,10-Nov,11:46AM,AMYOYN
6-Nov 9:02AM Y/I/H,06-Nov,9:02AM,NAMYIH
10:29AM Y:I:Z 8-Nov,08-Nov,10:29AM,AMYIZN
7/Nov Y-O-H 3:00PM,07-Nov,3:00PM,NYOHPM
12:17PM 9-Nov Y:I:Y,09-Nov,12:17PM,PMNYIY
10-Nov 8:50AM Y/I/W,10-Nov,8:50AM,NAMYIW
Y:O:X 2:43PM 10/Nov,10-Nov,2:43PM,YOXPMN
8-Nov Y/O/X 10:40AM,08-Nov,10:40AM,NYOXAM
Y-I-Y 6-Nov 8:55AM,06-Nov,8:55AM,YIYNAM
Y-I-Z 11:04PM 7/Nov,07-Nov,11:04PM,YIZPMN
Y/O/Y 11:23PM 7/Nov,07-Nov,11:23PM,YOYPMN
9/Nov 11:26AM YOY,09-Nov,11:26AM,NAMYOY
Y-I-X 12:22PM 6/Nov,06-Nov,12:22PM,YIXPMN
Y:O:Y 7/Nov 1:21PM,07-Nov,1:21PM,YOYNPM
YOZ 7/Nov 12:39PM,07-Nov,12:39PM,YOZNPM
Y:I:Z 9-Nov 8:02PM,09-Nov,8:02PM,YIZNPM
Y-O-H 11:03PM 9-Nov,09-Nov,11:03PM,YOHPMN
8:55AM 10-Nov Y-O-Z,10-Nov,8:55AM,AMNYOZ
7/Nov Y:I:H 4:07PM,07-Nov,4:07PM,NYIHPM
10:37PM Y-O-Z 7/Nov,07-Nov,10:37PM,PMYOZN
11:37AM Y/O/Z 9/Nov,09-Nov,11:37AM,AMYOZN
10-Nov YOY 7:23AM,10-Nov,7:23AM,NYOYAM
6/Nov 9:13PM Y/O/X,06-Nov,9:13PM,NPMYOX
8:53AM Y-O-Z 8/Nov,08-Nov,8:53AM,AMYOZN
10-Nov 1:06PM Y/O/W,10-Nov,1:06PM,NPMYOW
12:01PM YIW 9/Nov,09-Nov,12:01PM,PMYIWN
8:34AM YIH 6/Nov,06-Nov,8:34AM,AMYIHN
Y-O-W 9-Nov 8:27AM,09-Nov,8:27AM,YOWNAM
7:26AM YIX 8-Nov,08-Nov,7:26AM,AMYIXN
3:16PM Y:I:Y 9-Nov,09-Nov,3:16PM,PMYIYN
9-Nov Y:I:Y 10:46AM,09-Nov,10:46AM,NYIYAM
8:32AM 8-Nov YOX,08-Nov,8:32AM,AMNYOX
10-Nov Y/I/H 2:41PM,10-Nov,2:41PM,NYIHPM
7-Nov 7:35AM Y/O/Z,07-Nov,7:35AM,NAMYOZ
5:51PM Y:I:Y 8-Nov,08-Nov,5:51PM,PMYIYN
YIH 7/Nov 11:33AM,07-Nov,11:33AM,YIHNAM
9/Nov Y/I/W 8:52AM,09-Nov,8:52AM,NYIWAM
9:01AM Y-O-H 6/Nov,06-Nov,9:01AM,AMYOHN
YOX 7/Nov 2:45PM,07-Nov,2:45PM,YOXNPM
8/Nov YIW 6:56PM,08-Nov,6:56PM,NYIWPM
4:42PM Y:O:Z 10/Nov,10-Nov,4:42PM,PMYOZN
8-Nov 2:06PM YIW,08-Nov,2:06PM,NPMYIW
3:33PM 9/Nov YIH,09-Nov,3:33PM,PMNYIH
Y-I-H 9-Nov 4:42PM,09-Nov,4:42PM,YIHNPM
6:15PM 6-Nov YIW,06-Nov,6:15PM,PMNYIW
7-Nov Y/O/W 6:45PM,07-Nov,6:45PM,NYOWPM
9/Nov 11:05AM YIW,09-Nov,11:05AM,NAMYIW
Y:O:Y 4:54PM 6/Nov,06-Nov,4:54PM,YOYPMN
8-Nov YIX 12:57PM,08-Nov,12:57PM,NYIXPM
Y/O/Y 6/Nov 10:48AM,06-Nov,10:48AM,YOYNAM
9/Nov 11:44AM YOX,09-Nov,11:44AM,NAMYOX
Y:O:H 6/Nov 7:01AM,06-Nov,7:01AM,YOHNAM
8-Nov 11:01PM Y/I/Z,08-Nov,11:01PM,NPMYIZ
9:59AM Y/O/Z 7-Nov,07-Nov,9:59AM,AMYOZN
6/Nov 5:20PM Y-O-Y,06-Nov,5:20PM,NPMYOY
8:03AM Y:I:Z 6-Nov,06-Nov,8:03AM,AMYIZN
YOZ 10:37PM 8-Nov,08-Nov,10:37PM,YOZPMN
6-Nov Y:O:X 8:33AM,06-Nov,8:33AM,NYOXAM
10/Nov Y-I-Y 5:14PM,10-Nov,5:14PM,NYIYPM
6/Nov Y/I/H 4:05PM,06-Nov,4:05PM,NYIHPM
6/Nov Y:I:X 2:26PM,06-Nov,2:26PM,NYIXPM
10:36AM 8/Nov Y:O:Z,08-Nov,10:36AM,AMNYOZ
7/Nov 4:16PM Y-I-Y,07-Nov,4:16PM,NPMYIY
Y:O:Z 7/Nov 9:33AM,07-Nov,9:33AM,YOZNAM
7-Nov 4:15PM YOX,07-Nov,4:15PM,NPMYOX
6-Nov Y:I:H 1:11PM,06-Nov,1:11PM,NYIHPM
Y-I-W 7/Nov 2:02PM,07-Nov,2:02PM,YIWNPM
9:31AM 9-Nov Y/O/H,09-Nov,9:31AM,AMNYOH
8-Nov Y/O/X 4:42PM,08-Nov,4:42PM,NYOXPM
Y:O:Z 7:15PM 7-Nov,07-Nov,7:15PM,YOZPMN
Y/O/H 7/Nov 9:30AM,07-Nov,9:30AM,YOHNAM
Y-O-H 2:31PM 8/Nov,08-Nov,2:31PM,YOHPMN
Y/I/W 10/Nov 2:35PM,10-Nov,2:35PM,YIWNPM
Y:O:Z 1:31PM 8-Nov,08-Nov,1:31PM,YOZPMN
7-Nov 8:03AM Y:I:Z,07-Nov,8:03AM,NAMYIZ
7/Nov Y-O-H 5:40PM,07-Nov,5:40PM,NYOHPM
5:24PM Y-O-Y 8-Nov,08-Nov,5:24PM,PMYOYN
Y/O/Y 2:52PM 8-Nov,08-Nov,2:52PM,YOYPMN
Y/I/X 7:29PM 7-Nov,07-Nov,7:29PM,YIXPMN
7-Nov 1:32PM Y:O:Z,07-Nov,1:32PM,NPMYOZ
Y:O:H 7-Nov 2:32PM,07-Nov,2:32PM,YOHNPM
YIW 6/Nov 8:30AM,06-Nov,8:30AM,YIWNAM
9:56AM Y:O:Y 9/Nov,09-Nov,9:56AM,AMYOYN
9/Nov YOW 2:06PM,09-Nov,2:06PM,NYOWPM
Y/I/H 6:58PM 7-Nov,07-Nov,6:58PM,YIHPMN
Y/O/X 3:43PM 10/Nov,10-Nov,3:43PM,YOXPMN
